grays harbor college, aberdeen, wa, www.ghc.edu
northern state university, aberdeen, sd, www.northern.edu
presentation college, aberdeen, sd, www.presentation.edu
abilene christian university, abilene, tx, www.acu.edu
hardin-simmons university, abilene, tx, www.hsutx.edu
mcmurry university, abilene, tx, ww2.mcm.edu
neecee's college of cosmetology, abilene, tx, neeceescollege.com
texas college of cosmetology-abilene, abilene, tx, www.texascollegecosmetology.com
virginia highlands community college, abingdon, va, www.vhcc.edu
pennsylvania state university-penn state abington, abington, pa, abington.psu.edu/
east central university, ada, ok, https://www.ecok.edu
ohio northern university, ada, oh, www.onu.edu/
chamberlain university-illinois, addison, il, www.chamberlain.edu
salon boutique academy, addison, tx, www.salonboutiqueacademy.com
university of maryland-university college, adelphi, md, www.umuc.edu
talmudical academy-new jersey, adelphia, nj, talmudicalacademynj.com
adrian college, adrian, mi, www.adrian.edu
siena heights university, adrian, mi, www.sienaheights.edu
colegio tecnico de electricidad galloza, aguada, pr, www.ctegpr.com/cteg_web/
colegio tecnologico y comercial de puerto rico, aguada, pr, ctcpr.edu
rosslyn training academy of cosmetology, aguada, pr, rosslyntrainig.edu
charlie's guard-detective bureau and academy inc, aguadilla, pr, www.charliesacademy.edu
inter american university of puerto rico-aguadilla, aguadilla, pr, www.aguadilla.inter.edu
university of puerto rico-aguadilla, aguadilla, pr, https://www.uprag.edu
xtreme career institute, aguadilla, pr, www.xtreme-career.com
roanoke-chowan community college, ahoskie, nc, www.roanokechowan.edu
aiken school of cosmetology and barbering, aiken, sc, www.aikenschoolofcosmetology.com
university of south carolina-aiken, aiken, sc, web.usca.edu
international beauty education center, airway heights, wa, ibec.edu
akron school of practical nursing, akron, oh, www.akronschools.com\nursing
brown mackie college-akron, akron, oh, www.brownmackie.edu/locations/akron
gerbers akron beauty school, akron, oh, akronbeautyschool.com
herzing university-akron, akron, oh, www.herzing.edu
national institute of massotherapy, akron, oh, www.nim.edu
university of akron main campus, akron, oh, www.uakron.edu
argosy university-san francisco bay area, alameda, ca, www.argosy.edu/locations/san-francisco
avalon school of cosmetology-alameda, alameda, ca, avalon.edu/locations/alameda-ca/
college of alameda, alameda, ca, alameda.peralta.edu/
columbia college - coast guard island, alameda, ca, www.ccis.edu
new mexico state university-alamogordo, alamogordo, nm, nmsua.edu
olympian academy of cosmetology, alamogordo, nm, www.olympusbeauty.com
adams state university, alamosa, co, www.adams.edu
